Species,Interaction,No.individuals,Year,Gear,Sector,Coverage.rate
Northern Fulmar,Other,1,2011,Midwater Trawl,Shoreside Hake,1
Pink-footed Shearwater,Feeding on catch,4,2011,Midwater Trawl,Shoreside Hake,1
Rhinoceros Auklet,Boarded vessel,1,2003,Bottom Trawl,Limited Entry Trawl,0.14
Rhinoceros Auklet,Boarded vessel,1,2009,Bottom Trawl,Limited Entry Trawl,0.23
Shearwater Unid,Boarded vessel,1,2003,Bottom Trawl,Limited Entry Trawl,0.14
Shearwater Unid,Boarded vessel,1,2007,Bottom Trawl,Limited Entry Trawl,0.17
Shearwater Unid,Entangled in gear - not trailing gear,1,2011,Midwater Trawl,Shoreside Hake,1
Short-tailed Albatross,Feeding on catch,2,2002,Bottom Trawl,Limited Entry Trawl,0.15
Short-tailed Albatross,Feeding on catch,2,2009,Bottom Trawl,Limited Entry Trawl,0.23
Short-tailed Albatross,Feeding on catch,3,2010,Bottom Trawl,Limited Entry Trawl,0.18
Short-tailed Albatross,Feeding on catch,4,2011,Bottom Trawl,Catch Shares,1
Short-tailed Albatross,Feeding on catch,1,2011,Midwater Trawl,Shoreside Hake,1
Short-tailed Albatross,Feeding on catch,3,2012,Bottom Trawl,Catch Shares,1
Short-tailed Albatross,Feeding on catch,2,2012,Midwater Trawl,Shoreside Hake,1
Short-tailed Albatross,Feeding on catch,2,2012,Pot,Catch Shares,1
Short-tailed Albatross,Feeding on catch,3,2013,Bottom Trawl,Catch Shares,1
Short-tailed Albatross,Feeding on catch,1,2013,Midwater Trawl,Shoreside Hake,1
Short-tailed Albatross,Feeding on catch,4,2014,Bottom Trawl,Catch Shares,1
Short-tailed Albatross,Other,1,2011,Hook & Line,Catch Shares,1
Sooty Shearwater,Feeding on catch,12,2011,Midwater Trawl,Shoreside Hake,1
Sooty Shearwater,Killed by gear,2,2013,Bottom Trawl,Catch Shares,1
Storm-Petrel Unid,Boarded vessel,1,2003,Bottom Trawl,Limited Entry Trawl,0.14
Storm-Petrel Unid,Boarded vessel,1,2004,Bottom Trawl,Limited Entry Trawl,0.24
Storm-Petrel Unid,Boarded vessel,1,2009,Bottom Trawl,Limited Entry Trawl,0.23
Storm-Petrel Unid,Entangled in gear - not trailing gear,1,2003,Bottom Trawl,Limited Entry Trawl,0.14
Storm-Petrel Unid,Entangled in gear - not trailing gear,1,2011,Bottom Trawl,Catch Shares,1
Storm-Petrel Unid,Entangled in gear - not trailing gear,1,2013,Bottom Trawl,Catch Shares,1
Storm-Petrel Unid,Entangled in gear - not trailing gear,1,2013,Pot,Catch Shares,1
Storm-Petrel Unid,Killed by gear,1,2004,Bottom Trawl,Limited Entry Trawl,0.24
Storm-Petrel Unid,Other,1,2013,Bottom Trawl,Catch Shares,1
Western Gull,Boarded vessel,2,2009,Bottom Trawl,Limited Entry Trawl,0.23
Western Gull,Feeding on catch,23,2011,Midwater Trawl,Shoreside Hake,1
Western Gull,Killed by gear,1,2011,Hook & Line,Catch Shares,1
Western Gull,Killed by gear,29,2012,Hook & Line,Catch Shares,1
Western Gull,Other,23,2009,Bottom Trawl,Limited Entry Trawl,0.23
