Species,Interaction,No.individuals,Year,Gear,Sector,Coverage.rate
Pacific White-sided Dolphin,Previously dead,1,2012,Bottom Trawl,Catch Shares,1
Pinniped Unid,Feeding on catch,1,2007,Bottom Trawl,Limited Entry Trawl,0.17
Pinniped Unid,Feeding on catch,3,2009,Bottom Trawl,Limited Entry Trawl,0.23
Pinniped Unid,Previously dead,1,2003,Bottom Trawl,Limited Entry Trawl,0.14
Porpoise Unid,Previously dead,1,2012,Bottom Trawl,Catch Shares,1
Rissos Dolphin,Killed by gear,1,2008,Bottom Trawl,Limited Entry Trawl,0.2
Sea Lion Unid,Entangled in gear - not trailing gear,1,2006,Bottom Trawl,Limited Entry Trawl,0.19
Sea Lion Unid,Entangled in gear - not trailing gear,1,2013,Bottom Trawl,Catch Shares,1
Sea Lion Unid,Feeding on catch,1,2003,Bottom Trawl,Limited Entry Trawl,0.14
Sea Lion Unid,Feeding on catch,2,2004,Bottom Trawl,Limited Entry Trawl,0.24
Sea Lion Unid,Feeding on catch,2,2005,Bottom Trawl,Limited Entry Trawl,0.22
Sea Lion Unid,Feeding on catch,28,2006,Bottom Trawl,Limited Entry Trawl,0.19
Sea Lion Unid,Feeding on catch,1,2007,Bottom Trawl,Limited Entry Trawl,0.17
Sea Lion Unid,Feeding on catch,5,2014,Bottom Trawl,Catch Shares,1
Sea Lion Unid,Killed by gear,1,2002,Bottom Trawl,Limited Entry Trawl,0.15
Seal Unid,Entangled in gear - not trailing gear,1,2011,Bottom Trawl,Catch Shares,1
Short-beaked Common Dolphin,Previously dead,1,2014,Bottom Trawl,Catch Shares,1
Sperm Whale,Feeding on catch,1,2011,Hook & Line,Catch Shares,1
Sperm Whale,Feeding on catch,2,2012,Hook & Line,Catch Shares,1
Sperm Whale,Feeding on catch,2,2014,Hook & Line,Catch Shares,1
Steller Sea Lion,Boarded vessel,2,2011,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Deterrence used,5,2011,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Deterrence used,24,2012,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Deterrence used,12,2013,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Deterrence used,6,2013,Hook & Line,Catch Shares,1
Steller Sea Lion,Entangled in gear - not trailing gear,10,2004,Bottom Trawl,Limited Entry Trawl,0.24
Steller Sea Lion,Entangled in gear - not trailing gear,1,2006,Bottom Trawl,Limited Entry Trawl,0.19
Steller Sea Lion,Entangled in gear - not trailing gear,1,2007,Bottom Trawl,Limited Entry Trawl,0.17
Steller Sea Lion,Entangled in gear - not trailing gear,14,2009,Bottom Trawl,Limited Entry Trawl,0.23
Steller Sea Lion,Entangled in gear - not trailing gear,13,2010,Bottom Trawl,Limited Entry Trawl,0.18
Steller Sea Lion,Entangled in gear - not trailing gear,24,2011,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Entangled in gear - not trailing gear,17,2012,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Entangled in gear - not trailing gear,12,2013,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Entangled in gear - not trailing gear,9,2014,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Feeding on catch,8,2002,Bottom Trawl,Limited Entry Trawl,0.15
